Product,Expenditure,Demand
X,273.049125187432,630.396503930519
Z,615.673740719992,521.03498688588
X,220.178524841631,607.500648004433
Z,775.449726037927,391.6492803906
X,235.038133025145,644.455127242633
Z,604.205996628857,498.522364397525
Y,531.489659862257,581.694713899481
Y,422.168687590068,525.37363440276
X,244.909200864483,555.088650090372
Y,492.75713549116,491.88594318606
Z,540.303893264092,380.938343442123
Z,690.771049590316,433.581209908572
Z,550.240207789308,354.51355857615
Y,415.912740426601,471.277946410227
Z,826.439714490313,487.412598438829
Y,479.898618962352,536.810867230477
Z,605.085694267685,420.14389609305
X,241.693021883302,558.020779685856
Y,394.244264197661,512.284874310576
Z,607.569765728545,381.800730435696
Y,216.608392356696,368.984242603564
X,217.611260919428,617.951215391038
X,240.68319138777,573.425942394168
X,245.888701974375,655.95988643692294
Z,649.117719320968,509.543088024215
Y,378.401138163204,455.080933037565
Y,493.292603841181,637.748654487057
X,166.565336743324,576.705473558298
Z,610.905255272179,400.004532897016
Z,623.434982611654,385.380711604673
X,241.118481686101,657.928646919386
Z,600.505720459066,343.286709044821
X,237.068764651163,662.597702477267
Y,479.977490059392,513.111675972307
X,158.153846732527,617.540979590733
Y,410.286256374119,510.522754643973
Y,346.485500146641,450.004046993299
X,200.827731163415,564.06219219772
X,170.20240655851,568.957527281024
X,167.429607753977,535.248554908309
Z,480.477410031088,475.646491100222
Y,459.381522790276,480.885935766814
Y,511.938811740111,575.969409721248
Z,554.402298473488,298.026917232145
Y,445.764597961611,517.303429970692
X,140.8834023856,604.667414001752
Z,360.911161569557,333.430516074052
Z,658.435853452067,485.884513408866
Y,404.190698103434,424.254967721545
X,213.332371353589,625.039856088383
X,112.607055011544,630.854597696966
Z,557.609767589216,362.018020014031
Z,485.10800731439,326.52019440679
Z,735.681936866308,484.738911563155
Z,585.716505546545,412.519825097993
X,238.993607448916,645.996351476917
Y,367.643476470677,457.337659158603
Z,537.593044756363,256.571832340816
Y,368.953481880324,437.956031709966
Z,570.278195151204,346.610350961089
Z,594.208770988708,292.724926113531
Y,321.440117654636,416.489893935206
Y,243.760954084477,465.001066318728
X,299.738299065909,565.653155872868
Y,315.302644749089,544.242212185885
Y,364.539853198033,462.887415110412
X,191.654451201303,523.556223112648
Y,510.762351380391,538.875203079258
Y,435.978556134141,525.292286302005
Y,438.957267715102,577.49796025605
Y,327.740640949605,405.772934683614
Z,500.340231363911,369.441524664885
Y,356.388003144866,477.061888296578
Y,425.728067003641,522.086575067827
Z,642.699862769796,512.847721364065
Z,748.011703515244,460.954605038465
Y,444.561973193824,471.444434591231
Y,363.893143920931,480.205139676009
Y,465.242681529138,515.113679691639
Z,757.853313306019,471.965146647151
Y,417.546726658052,514.240392305356
X,190.416661720066,608.614303572909
Y,392.294258856959,505.391994027628
X,252.247255531152,639.50314772164
Y,344.281055254079,425.305372749154
X,175.556739680609,637.16105951193
X,212.35147626919,622.280034892641
X,224.839168797717,568.135008402927
X,136.693320122293,670.482269925584
Y,326.696956222052,527.32220228183
X,280.365768232096,703.6588042439
Y,384.684278790351,432.600270422553
Z,622.130744087739,381.472949583292
Y,297.1477673096,400.14147520543
Y,456.159680514248,560.548201805591
Y,498.914504690816,580.428945070897
Z,583.595501715776,315.159600363426
X,183.871379945206,587.95062073702
X,133.353298002271,493.740629328797
Z,587.350230173042,323.69343663151
X,215.483468335504,614.721585401682
X,186.098485431977,581.398778014579
Y,478.975879365538,547.528605027835
Y,378.166352089414,394.689542049264
Y,409.864681754397,566.508583253775
Z,627.783625114497,365.167933494138
Z,464.60849552425,283.024886225228
Y,453.350673352282,600.247243398367
Y,478.647460575338,509.882964689761
Z,822.907722476222,516.378552093331
Y,475.032817711317,482.77714107423
Z,648.030342180276,447.404083930087
Y,549.366477748982,591.326322374512
Z,712.641191287433,475.418690885052
Z,589.347379163983,404.740060336438
X,246.987982319846,645.801933563265
Y,561.387281798286,625.254710773097
Y,439.981398689614,447.078282188572
X,231.840611316408,596.484328022133
Y,416.145229136554,416.440703312659
X,192.952823074237,594.760428201852
Y,427.784069626003,487.814331118639
Y,388.992679417241,477.051366841506
Y,431.105004189853,568.966473971827
Z,585.670811396171,440.484092297001
Y,325.786551338777,462.603612612734
Y,349.415053443833,502.728098701987
Y,489.160475965689,671.246140875728
Y,378.079514726233,510.876616164366
Y,351.613789005302,505.044677319306
Y,644.564565536133,583.199629981185
Z,427.549009083478,442.366633460937
Z,705.597703463839,424.356967477402
Y,430.076461613932,534.963600087627
Z,571.098144350662,403.112873111971
Z,570.255268905412,477.613579154975
Z,522.593516708045,291.024646838922
X,148.032048271686,563.58999517778
Y,289.096891328379,432.095548867897
X,150.204391603457,597.453110429532
Y,485.395326254153,605.387821959137
Y,282.343169329135,532.144869141499
Z,745.451996982494,518.576134245429
X,159.394849599274,582.77618810489
Z,623.111660553493,334.668190416944
X,221.145305129868,690.846285349376
Z,620.850162238112,358.953662783817
Y,402.794862454038,468.264125850163
X,139.943768508095,610.107262964421
X,275.615766535876,588.99553794653
Y,390.710158858099,484.065808992713
Y,463.183894448454,533.545318566225
X,198.772645842508,583.240595471854
X,156.428404008015,664.022573614411
Y,461.680246671471,532.90050169354
Z,632.673618651685,334.254939475016
Z,538.181557106501,348.300197079982
Y,330.280581972646,431.235559645227
Z,730.879419960703,498.176966981913
Y,539.817909082997,581.310235203444
Y,363.586482888722,451.933742680401
Y,376.757507207713,463.545199460038
X,225.193489005925,584.437478212156
Y,162.85918210826,343.364823660437
X,202.195123242397,614.535713736583
X,121.772835958137,625.685926184536
Z,526.025197288627,378.048296775329
Z,772.978033596305,452.67980936908
Y,358.101088481717,407.833699494734
Y,310.593892525614,456.578052571609
Z,705.059949168277,475.143890127672
X,235.867446441573,610.017980610383
X,179.133133796394,590.507264128583
Z,376.751585999931,190.521532517128
Y,508.334661264743,566.310950964101
Y,404.345069905551,484.60395326701
X,198.423780485748,624.124213645987
Y,383.975520907729,499.188701011704
Y,351.26428124023,481.939909441238
Z,595.073676820738,380.587409387301
Z,588.81494411953,422.41778115151
X,154.759419357959,493.616559580488
Y,397.190155570503,521.812164821863
Y,466.863599770156,532.030990428117
Y,360.679211590437,469.504845989124
X,199.973904071528,750.145689087311
X,269.892686439095,604.501410552274
Z,517.585644630879,337.669627810389
Y,245.393432274074,448.050243856768
Y,303.998297053078,491.634717601964
X,240.776744098993,560.625253606411
Z,534.900271190079,379.349709653748
Y,405.170010750396,569.092233213509
Y,337.68410718423,441.029188220386
Y,495.393339182482,598.039892128741
X,251.785212682549,650.479914684814
X,282.163874991406,679.809441357121
X,247.217379493034,651.108031643239
Y,455.954099052378,443.490567425349
Z,368.65669805546,310.221866757504
Y,221.250927701028,400.371106896855
Y,271.859315800438,414.622854617471
Z,504.978017527668,419.060456442826
Y,386.527894226871,479.661810223332
X,128.111259649442,531.179863914206
Y,369.82971390148,466.31908890437
Z,647.555059933806,415.350596514422
Y,491.26501164749,561.598040281719
X,284.594535989224,619.573890621243
Y,329.127678928368,501.635011212286
Z,854.549470693642,578.83494793185
X,283.918914445188,677.533700901847
Y,371.285410344434,432.000096418387
Y,374.946948046909,471.348375675548
Y,550.20306111828,511.798065393746
Y,278.876456076289,409.779893691248
Z,685.03117498947,510.126423896197
Z,612.393481699523,392.448771588145
X,187.607049738783,504.105775632843
Z,673.628142428801,360.535096726234
Y,425.576667168516,503.325950796927
X,325.319692798491,749.203491872475
Z,542.276616468754,236.46223650979
Z,449.952078597773,339.986822367025
Y,369.888254621668,458.325910165384
X,211.401194271947,667.142401457818
Z,602.279169885676,303.6571824616
X,220.777287090199,529.751099905845
X,87.9790743361392,558.002741302566
Y,442.406057545205,584.505626180585
Z,569.292345731794,433.49175935741
X,152.062667614951,529.481105407472
X,165.739149723391,541.866730652015
Y,398.237338626562,444.545332042646
X,179.064655037751,507.40835715525
X,168.151671079163,523.311214311595
Z,700.173035261371,484.077727526589
X,204.033995914945,642.364088742052
X,186.142854276822,561.864293182224
X,245.248003504017,584.574731114241
Z,497.644042415154,343.392543504717
Y,484.40882159612,604.860935420341
Y,485.124000116579,557.417674282993
X,206.931461817863,546.247684370771
Y,452.881823376394,549.178270310519
Z,597.472369369336,361.168232431434
X,163.786783657884,616.897810778976
Y,523.334500945103,616.994894354892
Z,639.864508229958,445.977068835907
Z,562.906166133335,317.763546525252
Y,428.386869341132,568.228458550307
Y,498.123991221273,604.513405273062
Y,396.622735484708,543.149978482927
Z,674.036346994092,474.679918852853
Y,429.469125874203,457.56299073972
X,218.593193700586,645.803173975223
Z,720.812474518626,448.013340969452
Z,847.831773972276,542.805890142363
Y,422.49544657478,522.345187018088
Y,471.758423839114,556.07187008421
X,239.255470639581,593.202792836814
Z,758.745988805106,499.140205409129
Y,333.197003067255,487.528414059595
Y,470.27758404610603,556.406468060273
X,148.819136177134,553.066704321892
Y,374.752458777261,466.700248373545
Z,426.55885014934,293.113478620907
Z,661.644698513757,398.289896975606
X,222.456576950138,635.665825091926
Z,617.743545199762,447.329220940251
Y,266.277607233537,469.036904091869
X,260.552027853716,581.490027127048
Z,502.40951897329,404.035315096854
X,250.879372656563,679.330731611364
Y,289.355000701291,351.806170811084
X,273.719771960555,641.468708616773
X,243.934791394549,597.087822480809
X,226.368358357627,656.220894408939
Y,457.159813721492,497.825639164564
Y,436.25718249425603,523.07616793049306
Y,345.104652065762,429.056873781953
Z,462.705324843988,397.948191447876
Z,576.081201892128,413.710523008951
X,191.659101911891,593.335166707547
Y,426.074655320916,570.913624081137
X,203.441888668557,622.375908916109
Y,392.749926010318,625.266645310276
Z,496.000576156103,341.10127111843
X,200.501856857782,711.770257780139
Z,470.119118268567,321.990321604884
Y,346.854648590907,387.115063782989
X,199.544530645231,622.114607242776
Y,400.810998757992,537.515377460597
Y,277.387420197221,521.980170470566
X,293.329764521894,664.867981660728
X,228.734790977581,608.072955556788
Y,383.731485996971,397.575931763829
Y,310.897009573349,384.081939311601
Y,475.407275965253,492.737763466544
Y,586.804739672479,605.997664245663
X,219.98465098719,654.78810709629
Y,488.234830157687,564.563480494559
X,176.580140193239,612.320714961363
X,206.232369248836,543.438093039009
Z,678.186316044446,422.053731667352
X,267.448262990687,599.379941487848
Z,459.740262214656,320.121499049131
Y,469.948324570932,492.689311176763
X,272.590902094365,644.206079813138
X,205.019665216883,601.999801722936
X,182.606116488997,618.829126925821
X,250.341882558921,597.964851894639
X,170.048480233141,647.370985995649
X,252.448104304244,631.575441873579
X,211.45363270193,593.67487170396
Y,436.075920538279,561.136787285387
Y,404.027958523711,443.40930893358
X,159.295349717119,651.251153385661
Y,335.744808243449,511.728101212377
Z,426.676430367291,246.387738888197
Z,369.524664707735,358.561552037351
Z,566.206117639708,406.646573480181
Y,373.198767839908,537.199763052187
X,192.510368724976,666.008159619098
Y,452.384221437002,475.841045267974
Y,302.157952955099,396.504752772777
Z,732.974854765876,504.314335737267
X,222.642904985106,667.987623672203
X,224.479914513222,584.624245998384
X,193.591789092585,665.647838100458
X,227.194010734406,588.954113155176
Y,309.391002691418,481.310213422547
X,204.178404861433,640.742661544178
X,243.468038264871,620.173138353062
X,350.470119192713,704.361831343876
Y,392.72097126246,497.821005757736
Z,636.780508303626,404.915508454638
Y,347.657112742661,456.415355764185
Y,423.085780397791,563.751326768393
X,266.220541437204,592.948019641904
X,165.78325356079,562.825088892202
Y,299.054871971174,415.478406911251
Y,378.812433521009,511.61906533164
Y,394.500324166107,470.725096232275
Z,736.084587758332,445.403290442079
X,167.516113255577,653.950188523128
Z,681.366384825534,438.829854675824
Z,571.24927048576,508.073391591161
Y,243.016291291708,424.10857126162
Y,335.29708187021,389.998724469166
Y,352.756810225856,534.813758830979
X,191.689550647199,576.552034291852
Y,390.010804429259,512.894665219525
Z,615.650672207159,462.277223596853
Y,427.374977052328,411.403743871221
Z,653.67554563177,406.042735410288
X,244.072460334117,619.546972105132
Z,481.747361965851,303.309312647615
X,326.699192548126,599.731545279864
Y,419.220308831614,467.22493268421
Y,365.573444761686,527.913930876016
Z,461.856315219102,378.196269987813
Y,465.363635046369,597.352254119042
Y,468.504659032685,566.875802409965
Y,334.831376504008,463.072006420306
Y,328.429378931155,510.352605967303
Z,465.958724164066,269.808235932074
Z,621.551487300571,449.238953512318
Y,601.51007558046,629.824860454334
Y,413.546057451058,435.182533539207
Y,323.130299455914,459.027132026271
Z,572.247648293857,429.551755336131
Y,280.636212363416,391.484012752505
X,315.761442483505,760.512182218303
Y,336.853515526295,498.467688866105
Y,383.993610701975,430.714695879212
Z,666.852371502016,401.440238493895
Z,576.390771206041,378.936877876173
X,130.353084536182,537.706128138946
X,141.46849908586,578.819196624771
Y,522.490349869423,640.733594465156
X,215.234662264095,588.031111805882
X,146.500804856006,620.837126932635
Z,434.969227951251,356.761554751367
Z,640.618360725209,445.258027327897
Y,476.460342163759,530.323765108548
Y,479.654461134014,480.759962506718
X,195.751653585224,681.262584545402
Y,317.5242398839,498.637220948084
Z,457.479105001684,393.503056834282
Y,386.227941832027,508.188570561422
X,226.310426658114,693.927909763021
X,278.192173077501,716.602148241026
Y,460.735365033177,458.480969602269
X,223.547775357711,611.13372813345
Z,530.785066955847,351.55670420809
Z,480.812818598825,250.389612115085
Y,439.393289622235,533.835151145009
X,150.447906394711,573.565726715416
X,146.5434694147,521.642017795788
X,307.890067704052,649.587290523956
Z,461.206377250889,372.219326508084
X,260.874464200137,722.994569681827
Z,608.338069888105,340.536255487517
X,232.547025654887,660.283189704661
X,80.9682601594379,626.013132361296
Y,356.135029621265,533.909219696572
Z,541.906274126374,450.079714173012
Z,567.957820782352,456.265808495173
Y,483.468409775029,576.165207184789
X,218.385465344056,626.222572134888
Z,612.744333150278,319.412222858674
Z,684.346393812611,385.17254423855
X,155.036259109229,619.241715295491
X,213.223380824308,594.70712795114
Z,776.48079260811,474.803296476498
Z,577.570011654833,324.02389776816
X,239.849118543673,607.86704137933
Y,519.870638787674,608.134783266505
Z,521.823636131456,247.24228754427
Y,299.013548934189,437.116478293941
X,206.94861704853,678.15505353815
Y,347.490847381565,485.881092309213
Y,429.468360782603,546.660316478916
Z,703.837611886021,467.721491616997
Y,450.449673831203,465.113998147098
Y,403.896805603017,464.210040108998
Z,794.901065755976,499.00915891617
Z,529.140794675078,501.435001496573
Y,472.367565925002,580.966913866262
X,192.772395179455,582.012631424129
Y,359.67328227281,461.688034561341
X,185.042696505745,630.353949016176
Y,315.338423473875,494.085729542638
X,159.095717707514,607.156726989812
X,144.900409522482,679.31572603755
X,171.101805666662,590.880391253407
X,229.532202663889,628.228145643946
X,191.872092523244,546.86020597117
Z,508.939590890958,242.958171972785
X,194.565856043609,648.698476270537
Y,418.659762364812,650.079294319666
Z,657.092495271061,413.820113629808
Z,682.43301341516,431.035503831513
X,288.361610842763,596.076358672563
Z,667.449023029474,357.304198470855
Y,402.839944308056,479.599190006124
Y,423.402805995151,519.442082930171
Y,273.761395936472,445.758033833513
Y,485.759333769435,519.316202807687
X,206.339492228663,556.943960097852
X,172.932504349517,631.703711746557
Y,390.588089865884,492.93140674327
